"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",24.0882426878938,6.05210830610003,33.8126370903279,NA,NA,NA
"ETS",15.2611668140437,2.54583559542136,30.1898962067657,NA,503.179336670911,513.030796238672
"Linear Regression",117.655787447943,37.8923106929939,134.516982241329,0.865729049608046,675.986672547111,681.897548287767
"ARIMA(Auto)",14.249537775533,2.5527732516634,29.7986533524945,NA,498.003636235339,501.867287500787
"ARIMA(3,1,2)",14.3238621571304,2.62673555559257,29.6315286387396,NA,514.163143559526,525.870605871015
